submit23.mit.edu

/work/submit/villaj/julia-1.9.1/bin/julia

Running Julia Code
Gathering arguments...
Passed N Threads == N GPU sanity check!
Formatting data...
Decorrelating...
- Using preexisting train and test sets from indexes/transmission_above_60/
Preparing for training...
Beginning training...
- Training width=100, depth=5, activation=sigmoid, batchsize=1024, learning_rate=0.001, dropout_rate=0.0 on thread 2
- Training width=50, depth=4, activation=sigmoid, batchsize=1024, learning_rate=0.001, dropout_rate=0.0 on thread 1
  - Fold 1 of 2023-06-16_12-22-39_w=100_d=5_activation=sigmoid_bs=1024_lr=0.001_dr=0.0
  - Fold 1 of 2023-06-16_12-22-39_w=50_d=4_activation=sigmoid_bs=1024_lr=0.001_dr=0.0
    epoch 25, loss=0.69052, time=63.118232011795044
    epoch 25, loss=0.5731248, time=64.79130387306213
    epoch 50, loss=0.5035253, time=74.10871195793152
    epoch 50, loss=0.42587677, time=77.6038429737091
    epoch 75, loss=0.43305868, time=85.91172790527344
    epoch 75, loss=0.37449387, time=91.05415987968445
    epoch 100, loss=0.3973245, time=97.16750288009644
    epoch 100, loss=0.35800335, time=103.81214594841003
    epoch 125, loss=0.3783785, time=108.37579083442688
    epoch 125, loss=0.34636876, time=117.1274299621582
    epoch 150, loss=0.36578563, time=120.20593094825745
    epoch 150, loss=0.3388506, time=131.98559188842773
    epoch 175, loss=0.35800755, time=132.56711602210999
    epoch 200, loss=0.3521709, time=145.49828791618347
    epoch 175, loss=0.33210686, time=146.96758890151978
    epoch 225, loss=0.34696326, time=159.43869590759277
    epoch 200, loss=0.32480434, time=161.9845609664917
    epoch 250, loss=0.34244078, time=172.80150699615479
    epoch 225, loss=0.32201484, time=178.23519802093506
    epoch 275, loss=0.33889967, time=186.30618691444397
    epoch 250, loss=0.31816924, time=193.73817491531372
    epoch 300, loss=0.33655903, time=199.7653980255127
    epoch 275, loss=0.31357738, time=209.07178902626038
    epoch 325, loss=0.33273718, time=213.2542519569397
    epoch 300, loss=0.31230283, time=225.2537350654602
    epoch 350, loss=0.33072764, time=226.71764993667603
    epoch 325, loss=0.3088646, time=240.81967306137085
    epoch 375, loss=0.3281623, time=240.86173391342163
    epoch 400, loss=0.32553345, time=254.22942686080933
    epoch 350, loss=0.30562782, time=257.00122809410095
    epoch 425, loss=0.3245948, time=267.8303909301758
    epoch 375, loss=0.30239898, time=272.3131718635559
    epoch 450, loss=0.3241526, time=281.2082710266113
    epoch 400, loss=0.3016624, time=287.836256980896
    epoch 475, loss=0.32271972, time=294.62185883522034
    epoch 425, loss=0.3000774, time=304.0416178703308
    epoch 500, loss=0.321209, time=308.851047039032
    epoch 450, loss=0.29863372, time=319.40797686576843
    epoch 525, loss=0.31886628, time=322.09583592414856
    epoch 475, loss=0.29506475, time=334.63449788093567
    epoch 550, loss=0.3189392, time=336.12673902511597
    epoch 575, loss=0.31544393, time=349.7779438495636
    epoch 500, loss=0.2925536, time=350.85631704330444
    epoch 600, loss=0.31535625, time=363.05513882637024
    epoch 525, loss=0.2917371, time=366.21939301490784
    epoch 625, loss=0.31436676, time=376.44842195510864
    epoch 550, loss=0.28837955, time=382.3552100658417
    epoch 650, loss=0.31301022, time=390.09872484207153
    epoch 575, loss=0.28866217, time=397.85100388526917
    epoch 675, loss=0.3119496, time=403.40484285354614
    epoch 600, loss=0.2859685, time=414.1344029903412
    epoch 700, loss=0.31161794, time=416.8049190044403
    epoch 625, loss=0.28327778, time=429.45049595832825
    epoch 725, loss=0.3096113, time=431.00630497932434
    epoch 750, loss=0.30944797, time=444.32169795036316
    epoch 650, loss=0.28255892, time=444.8696930408478
    epoch 775, loss=0.30967626, time=457.09009885787964
    epoch 675, loss=0.27973837, time=461.1037549972534
    epoch 800, loss=0.30859524, time=471.38865184783936
    epoch 700, loss=0.2780838, time=477.35047698020935
    epoch 825, loss=0.30700302, time=484.6687910556793
    epoch 725, loss=0.2768895, time=492.67890095710754
    epoch 850, loss=0.30632344, time=498.0556209087372
    epoch 750, loss=0.27358854, time=508.19168186187744
    epoch 875, loss=0.30504948, time=511.73018503189087
    epoch 775, loss=0.2712857, time=524.4633700847626
    epoch 900, loss=0.30461463, time=525.0556359291077
    epoch 925, loss=0.3021259, time=538.546728849411
    epoch 800, loss=0.27058384, time=539.8105659484863
    epoch 950, loss=0.30385703, time=552.7603478431702
    epoch 825, loss=0.26667267, time=555.2041790485382
    epoch 975, loss=0.3014109, time=566.1191279888153
    epoch 850, loss=0.265305, time=571.4175169467926
    epoch 1000, loss=0.30090797, time=579.5586650371552
    epoch 875, loss=0.2639135, time=587.0370779037476
    epoch 1025, loss=0.3011127, time=593.2304179668427
    epoch 900, loss=0.26113698, time=602.2869288921356
    epoch 1050, loss=0.2986808, time=606.5476360321045
    epoch 925, loss=0.25810608, time=618.4603469371796
    epoch 1075, loss=0.29866987, time=620.1830880641937
    epoch 1100, loss=0.29816988, time=633.7984139919281
    epoch 950, loss=0.25645545, time=634.6709930896759
    epoch 1125, loss=0.29725677, time=647.1268949508667
    epoch 975, loss=0.25526604, time=650.2730939388275
    epoch 1150, loss=0.2965929, time=660.5036878585815
    epoch 1000, loss=0.25327665, time=665.4740240573883
    epoch 1175, loss=0.29614487, time=674.7459750175476
    epoch 1025, loss=0.25338265, time=681.6608500480652
    epoch 1200, loss=0.29624328, time=688.0682680606842
    epoch 1050, loss=0.25029823, time=697.251177072525
    epoch 1225, loss=0.29593313, time=701.5706820487976
    epoch 1075, loss=0.24857804, time=712.5029180049896
    epoch 1250, loss=0.29402837, time=715.0518798828125
    epoch 1275, loss=0.2946112, time=728.3503768444061
    epoch 1100, loss=0.24718945, time=728.5961949825287
    epoch 1300, loss=0.293719, time=741.8288340568542
    epoch 1125, loss=0.24624157, time=744.144572019577
    epoch 1325, loss=0.2931057, time=756.0457789897919
    epoch 1150, loss=0.24376544, time=759.5678670406342
    epoch 1350, loss=0.29360285, time=769.3955919742584
    epoch 1175, loss=0.24312542, time=775.0978910923004
    epoch 1375, loss=0.2918442, time=782.8173189163208
    epoch 1200, loss=0.24088672, time=791.2748010158539
    epoch 1400, loss=0.29117054, time=796.4223458766937
    epoch 1225, loss=0.24010994, time=807.4948480129242
    epoch 1425, loss=0.29229355, time=809.7838099002838
    epoch 1250, loss=0.23876448, time=822.8622000217438
    epoch 1450, loss=0.29116803, time=823.269602060318
    epoch 1475, loss=0.28911644, time=837.3718700408936
    epoch 1275, loss=0.23630771, time=838.265958070755
    epoch 1500, loss=0.2895333, time=850.7753050327301
    epoch 1300, loss=0.2347206, time=854.4391489028931
    epoch 1525, loss=0.28916046, time=864.3890659809113
    epoch 1325, loss=0.2346465, time=870.0471029281616
    epoch 1550, loss=0.28776938, time=877.7366678714752
    epoch 1350, loss=0.23286396, time=885.2963020801544
    epoch 1575, loss=0.28811964, time=891.224093914032
    epoch 1375, loss=0.2309731, time=901.3878929615021
    epoch 1600, loss=0.28683946, time=905.4700338840485
    epoch 1400, loss=0.23079602, time=916.2165489196777
    epoch 1625, loss=0.2865888, time=918.9402148723602
    epoch 1425, loss=0.22831614, time=932.3413178920746
    epoch 1650, loss=0.28680336, time=932.3931798934937
    epoch 1675, loss=0.28539312, time=946.6197030544281
    epoch 1450, loss=0.22801349, time=947.8214979171753
    epoch 1700, loss=0.28529468, time=959.9389848709106
    epoch 1475, loss=0.22596307, time=964.0089650154114
    epoch 1725, loss=0.28435063, time=973.3935348987579
    epoch 1500, loss=0.22562493, time=979.3777239322662
    epoch 1750, loss=0.2835074, time=986.973760843277
    epoch 1525, loss=0.22517067, time=994.8562109470367
    epoch 1775, loss=0.28305674, time=1000.3261120319366
    epoch 1550, loss=0.22298697, time=1010.9942438602448
